日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1037008.08,1037008.08,1,1.0370080799999999,1.0370080799999999,0.0
20250911,1036939.26,0.0,1036939.26,0,1.03693926,1.0370080799999999,-6.636399592940823e-05
20250912,0.0,1141793.46,1141793.46,1,1.14179346,1.14179346,0.0
20250915,0.0,1255765.58,1255765.58,1,1.25576558,1.25576558,0.0
20250916,0.0,1382171.02,1382171.02,1,1.38217102,1.38217102,0.0
20250917,0.0,1521009.79,1521009.79,1,1.5210097900000001,1.5210097900000001,0.0
20250918,0.0,1672281.88,1672281.88,1,1.6722818799999999,1.6722818799999999,0.0
20250919,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250922,1501725.03,0.0,1501725.03,0,1.50172503,1.6722818799999999,-0.1019904909811018
20250923,0.0,1466824.81,1466824.81,1,1.46682481,1.6722818799999999,-0.1228603098898613
20250924,1470987.93,0.0,1470987.93,0,1.47098793,1.6722818799999999,-0.1203708252821587
20250925,0.0,1514038.83,1514038.83,3,1.51403883,1.6722818799999999,-0.09462701945918339
20250926,1438634.41,0.0,1438634.41,0,1.43863441,1.6722818799999999,-0.13971775499953387
20250929,0.0,1437324.83,1437324.83,3,1.43732483,1.6722818799999999,-0.14050086460304156
20250930,984650.78,491839.6,1476490.39,1,1.47649039,1.6722818799999999,-0.11708043502809462
20251009,1483794.18,0.0,1483794.18,0,1.4837941799999999,1.6722818799999999,-0.11271287589386547
20251010,1483794.18,0.0,1483794.18,0,1.4837941799999999,1.6722818799999999,-0.11271287589386547
20251013,1483794.18,0.0,1483794.18,0,1.4837941799999999,1.6722818799999999,-0.11271287589386547
20251014,1483794.18,0.0,1483794.18,0,1.4837941799999999,1.6722818799999999,-0.11271287589386547
20251015,-0.0,1464888.82,1464888.82,3,1.46488882,1.6722818799999999,-0.12401800347199832
20251016,1031347.27,530843.32,1562190.59,1,1.5621905900000002,1.6722818799999999,-0.0658329742830196
20251017,0.0,1603415.19,1603415.19,3,1.60341519,1.6722818799999999,-0.041181269033423895
20251020,1534871.8,0.0,1534871.8,0,1.5348718000000001,1.6722818799999999,-0.08216920941581918
20251021,0.0,1670137.58,1670137.58,2,1.67013758,1.6722818799999999,-0.0012822599022599412
20251022,1681351.93,0.0,1681351.93,0,1.68135193,1.68135193,0.0
20251023,1681351.93,0.0,1681351.93,0,1.68135193,1.68135193,0.0
20251024,0.0,1673837.03,1673837.03,3,1.67383703,1.68135193,-0.0044695580181122185
20251027,1164489.42,594560.92,1759050.34,1,1.7590503400000002,1.7590503400000002,0.0
20251028,607603.17,1249281.78,1856884.95,1,1.85688495,1.85688495,0.0
20251029,1256041.16,629263.07,1885304.23,2,1.88530423,1.88530423,0.0
20251030,609834.63,1295685.92,1905520.55,1,1.90552055,1.90552055,0.0
20251031,1171627.04,586469.15,1758096.19,2,1.7580961899999998,1.90552055,-0.07736697460439368
20251103,603653.51,1160042.44,1763695.95,1,1.76369595,1.90552055,-0.07442827105695615
20251104,1136410.43,672937.64,1809348.07,1,1.80934807,1.90552055,-0.050470450187482974
20251105,688384.49,1102318.24,1790702.74,1,1.79070274,1.90552055,-0.06025535122148129
20251106,1790789.52,0.0,1790789.52,0,1.79078952,1.90552055,-0.060209809860093166
20251107,-0.0,1895819.56,1895819.56,3,1.89581956,1.90552055,-0.005090992065134081
20251110,2033630.33,0.0,2033630.33,0,2.0336303300000003,2.0336303300000003,0.0
20251111,0.0,2084375.67,2084375.67,1,2.08437567,2.08437567,0.0
20251112,1909156.55,0.0,1909156.55,0,1.90915655,2.08437567,-0.08406311900579799
20251113,0.0,2113974.26,2113974.26,1,2.11397426,2.11397426,0.0
20251114,2299329.19,0.0,2299329.19,0,2.29932919,2.29932919,0.0
20251117,0.0,2293118.41,2293118.41,2,2.29311841,2.29932919,-0.002701126931720421
20251118,2315798.17,0.0,2315798.17,0,2.31579817,2.31579817,0.0
20251119,2315798.17,0.0,2315798.17,0,2.31579817,2.31579817,0.0
20251120,2315798.17,0.0,2315798.17,0,2.31579817,2.31579817,0.0
20251121,2315798.17,0.0,2315798.17,0,2.31579817,2.31579817,0.0
20251124,0.0,2444990.61,2444990.61,2,2.44499061,2.44499061,0.0
20251125,1315549.19,1207276.52,2522825.71,1,2.5228257099999998,2.5228257099999998,0.0
20251126,1248143.64,1310899.32,2559042.96,1,2.5590429599999998,2.5590429599999998,0.0
20251127,1267835.72,1256046.58,2523882.3,2,2.5238823,2.5590429599999998,-0.013739769339393915
20251128,1303570.45,1138944.75,2442515.2,1,2.4425152000000003,2.5590429599999998,-0.04553567947917503
20251201,1121386.85,1395388.87,2516775.72,2,2.51677572,2.5590429599999998,-0.016516815333182056
20251202,1407131.51,1129971.36,2537102.87,1,2.53710287,2.5590429599999998,-0.008573552825388964
20251203,2494632.52,0.0,2494632.52,0,2.49463252,2.5590429599999998,-0.025169737674118453
20251204,-0.0,2507425.07,2507425.07,3,2.50742507,2.5590429599999998,-0.02017077900091202
20251205,2649437.39,0.0,2649437.39,0,2.64943739,2.64943739,0.0
20251208,2649437.39,0.0,2649437.39,0,2.64943739,2.64943739,0.0
20251209,0.0,2681794.32,2681794.32,3,2.68179432,2.68179432,0.0
20251210,2638501.27,0.0,2638501.27,0,2.63850127,2.68179432,-0.0161433148236364
20251211,2638501.27,0.0,2638501.27,0,2.63850127,2.68179432,-0.0161433148236364
20251212,0.0,2960175.48,2960175.48,2,2.96017548,2.96017548,0.0
20251215,1556863.67,1617909.14,3174772.82,1,3.17477282,3.17477282,0.0
20251216,3010767.95,0.0,3010767.95,0,3.01076795,3.17477282,-0.05165877349296444
20251217,3010767.95,0.0,3010767.95,0,3.01076795,3.17477282,-0.05165877349296444
20251218,0.0,3073243.8,3073243.8,2,3.0732437999999997,3.17477282,-0.031979932346781315
20251219,3164578.2,0.0,3164578.2,0,3.1645782000000002,3.17477282,-0.003211133702473723
20251222,0.0,3164325.86,3164325.86,2,3.16432586,3.17477282,-0.003290616555045367
20251223,3190189.02,0.0,3190189.02,0,3.19018902,3.19018902,0.0
20251224,3190189.02,0.0,3190189.02,0,3.19018902,3.19018902,0.0
20251225,0.0,3241795.03,3241795.03,1,3.2417950299999996,3.2417950299999996,0.0
20251226,3504360.86,0.0,3504360.86,0,3.50436086,3.50436086,0.0
20251229,0.0,3538825.57,3538825.57,1,3.5388255699999998,3.5388255699999998,0.0
20251230,3468474.96,0.0,3468474.96,0,3.46847496,3.5388255699999998,-0.019879648942403128
20251231,0.0,3611371.87,3611371.87,3,3.61137187,3.61137187,0.0
20260105,2332057.75,1281307.74,3613365.49,1,3.61336549,3.61336549,0.0
20260106,3637554.06,0.0,3637554.06,0,3.6375540600000003,3.6375540600000003,0.0
20260107,3637554.06,0.0,3637554.06,0,3.6375540600000003,3.6375540600000003,0.0
20260108,-0.0,3612836.27,3612836.27,3,3.61283627,3.6375540600000003,-0.00679516773972022
20260109,3549756.95,0.0,3549756.95,0,3.5497569500000004,3.6375540600000003,-0.024136303832691275
20260112,-0.0,3796968.43,3796968.43,3,3.79696843,3.79696843,0.0
20260113,3429025.23,0.0,3429025.23,0,3.42902523,3.79696843,-0.09690446649302265
20260114,-0.0,3619374.3,3619374.3,3,3.6193742999999996,3.79696843,-0.046772611696431876
20260115,3256123.8,0.0,3256123.8,0,3.2561237999999997,3.79696843,-0.14244117115295596
20260116,-0.0,3057926.61,3057926.61,3,3.05792661,3.79696843,-0.19463996965600272
20260119,3005240.17,0.0,3005240.17,0,3.00524017,3.79696843,-0.20851589224301248
20260120,0.0,3045480.57,3045480.57,3,3.04548057,3.79696843,-0.19791785837945464
20260121,1969185.11,1187208.78,3156393.88,1,3.15639388,3.79696843,-0.16870684121015989
20260122,0.0,3498680.35,3498680.35,3,3.49868035,3.79696843,-0.0785595365089723
20260123,3765532.49,0.0,3765532.49,0,3.76553249,3.79696843,-0.008279220799315423
20260126,0.0,3913434.36,3913434.36,1,3.9134343599999997,3.9134343599999997,0.0
20260127,0.0,4304434.82,4304434.82,1,4.30443482,4.30443482,0.0
20260128,0.0,4736593.21,4736593.21,1,4.73659321,4.73659321,0.0
20260129,0.0,5209909.55,5209909.55,1,5.20990955,5.20990955,0.0
20260130,4680139.23,0.0,4680139.23,0,4.680139230000001,5.20990955,-0.10168512810361541
20260202,0.0,4666190.29,4666190.29,3,4.66619029,5.20990955,-0.10436251431658727
20260203,3156682.22,1808629.25,4965311.47,1,4.96531147,5.20990955,-0.04694862312916748
20260204,4890638.26,0.0,4890638.26,0,4.890638259999999,5.20990955,-0.06128154182638368
20260205,-0.0,4952632.77,4952632.77,3,4.952632769999999,5.20990955,-0.049382197047931564
20260206,4627748.9,0.0,4627748.9,0,4.6277489,5.20990955,-0.11174102821036491
20260209,0.0,4564450.97,4564450.97,3,4.564450969999999,5.20990955,-0.12389055391566262
20260210,4430381.82,0.0,4430381.82,0,4.43038182,5.20990955,-0.1496240428972514
20260211,0.0,4400841.74,4400841.74,3,4.400841740000001,5.20990955,-0.15529402233096334
20260212,4274618.45,0.0,4274618.45,0,4.27461845,5.20990955,-0.17952156194343138
20260213,4274618.45,0.0,4274618.45,0,4.27461845,5.20990955,-0.17952156194343138
20260224,0.0,4222402.08,4222402.08,2,4.22240208,5.20990955,-0.18954407183518185
20260225,2178201.25,2304541.67,4482742.93,1,4.48274293,5.20990955,-0.13957375133316863
20260226,4427967.0,0.0,4427967.0,0,4.427967,5.20990955,-0.1500875480650139
20260227,0.0,4536473.97,4536473.97,1,4.536473969999999,5.20990955,-0.12926051278567796
20260302,0.0,4990408.67,4990408.67,1,4.99040867,5.20990955,-0.04213141857712288
20260303,4493897.25,0.0,4493897.25,0,4.49389725,5.20990955,-0.13743276982610952
20260304,4493897.25,0.0,4493897.25,0,4.49389725,5.20990955,-0.13743276982610952
20260305,0.0,4365588.19,4365588.19,3,4.36558819,5.20990955,-0.16206065612021991
20260306,4132965.63,0.0,4132965.63,0,4.13296563,5.20990955,-0.2067106750442529
20260309,4132965.63,0.0,4132965.63,0,4.13296563,5.20990955,-0.2067106750442529
20260310,4132965.63,0.0,4132965.63,0,4.13296563,5.20990955,-0.2067106750442529
20260311,0.0,4029658.48,4029658.48,1,4.02965848,5.20990955,-0.2265396469311065
20260312,4274233.57,0.0,4274233.57,0,4.274233570000001,5.20990955,-0.17959543654649424
20260313,0.0,4250796.45,4250796.45,2,4.25079645,5.20990955,-0.18409400216938498
20260316,4429450.4,0.0,4429450.4,0,4.4294504,5.20990955,-0.1498028214328595
20260317,0.0,4575843.11,4575843.11,3,4.57584311,5.20990955,-0.12170392478310876
20260318,4596485.64,0.0,4596485.64,0,4.59648564,5.20990955,-0.11774175810787346
20260319,-0.0,4163186.7,4163186.7,3,4.1631867,5.20990955,-0.2009099850879369
20260320,3758306.98,0.0,3758306.98,0,3.75830698,5.20990955,-0.27862337264569204
20260323,3758306.98,0.0,3758306.98,0,3.75830698,5.20990955,-0.27862337264569204
20260324,3758306.98,0.0,3758306.98,0,3.75830698,5.20990955,-0.27862337264569204
20260325,3758306.98,0.0,3758306.98,0,3.75830698,5.20990955,-0.27862337264569204
20260326,0.0,3577297.95,3577297.95,2,3.57729795,5.20990955,-0.31336659194016137
20260327,1712520.25,1990791.6,3703311.85,1,3.70331185,5.20990955,-0.28917924304463216
20260330,3501489.36,0.0,3501489.36,0,3.50148936,5.20990955,-0.32791743764534265
20260331,3501489.36,0.0,3501489.36,0,3.50148936,5.20990955,-0.32791743764534265
20260401,0.0,3345360.45,3345360.45,3,3.3453604500000003,5.20990955,-0.3578851191380088
20260402,2232466.54,1225279.58,3457746.12,1,3.45774612,5.20990955,-0.3363135987648769
20260403,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260407,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260408,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260409,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260410,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260413,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260414,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260415,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260416,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260417,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
20260420,3467821.28,0.0,3467821.28,0,3.46782128,5.20990955,-0.3343797532914943
